X,Y,objectid,ogc_fid,nazev,druh,poznamka,web,program,ulice,cp_co,email,telefon,nazev_en,poznamka_en,pristupnost_id,zastit_org,brnopass,v_provozu,zastit_org_en,otevrene_od,otevrene_do,pristupnost,pristupnost_en,mapa_pristupnosti,obr_id1,obr_id2,obr_id3,obr_id4,obr_id5,datum_importu_psql
-598338.809999999,-1161010.1,1,35144,První patro,Hudebni klub,,https://patrobrno.cz/,,Šilingrovo nám.,7,kontakt@patrobrno.cz,+420 732 565 202,,,,,,Ano,,,,,,,,,,,,2024/09/24 01:30:43+00
-598324.820799999,-1160597.5215,2,17664,Galerie ARS,Galerie,,https://www.artmap.cz/galerie-ars/,,Veselá,238/39,info@galerie-ars.cz,542218291,,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180713&RECORD_ID=17664&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-597552.390000001,-1159471.61,3,35146,Arnoldova vila,Kulturní památka,,https://www.muzeumbrna.cz/arnoldova-vila/t1515,,Drobného,299/26,arnoldovavila@muzeumbrna.cz,+420 515 511 070,,,,Muzeum města Brna,,Ano,,,,,,,,,,,,2024/09/24 01:30:43+00
-598314.32,-1159302.44,4,17641,ArtBar Druhý Pád,Hudebni klub,,https://www.druhypad.cz,https://www.druhypad.cz/program/?month=03&year=2020,Štefánikova,836/1,produkce@druhypad.cz,606126866,ArtBar Second Fall,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180659&RECORD_ID=17641&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598475.670000002,-1160253.41,5,35156,Art Gallery Brno,Galerie,,https://www.artgallerybrno.cz/,,Veveří ,455/8,info@artgb.cz,+ 420 722 988 700,,,,,,Ano,,,,,,,,,,,,2024/09/24 01:30:43+00
-596947.405499998,-1162095.7878,6,17521,Artikle,Galerie,,https://www.artikle.cz,http://artikle.cz/cs/aktuality/,Masná,27/9,artikle@artikle.cz,739675050,,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180660&RECORD_ID=17521&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-597995.489999998,-1160861.09,7,17614,Art klub u tří knížat,Podnik s kulturním programem,,https://www.artklub.cz,,Jánská,449/12,artklubbrno@gmail.com,602968337,Art club with three princes,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180661&RECORD_ID=17614&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598428.010000002,-1160599.96,8,17625,Besední dům,Koncertní hala,,https://www.filharmonie-brno.cz,https://filharmonie-brno.cz/kompletni-program/,Komenského náměstí,534/8,info@filharmonie-brno.cz,539092801,Besední House,,1,,Ano,Ano,,,,přístupné,accessible,https://gis.brno.cz/mapa/mapa-pristupnosti/?i=-598430.63:-1160617.32&c=-598430.63:-1160617.32,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180657&RECORD_ID=17625&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598139.579999998,-1161148.81,9,17543,Biskupský dvůr,Muzeum,,,https://www.mdb.cz/program/biskupsky-dvur/2020-10,Muzejní,298/1,mzm@mzm.cz,533435282,"Bishop’s Courtyard, Moravian Museum",,2,Moravské zemské muzeum,Ano,Ano,,,,přístupné s asistencí,accessible with assistance,https://gis.brno.cz/mapa/mapa-pristupnosti/?i=-598182.61:-1161187.56&c=-598182.61:-1161187.56,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180655&RECORD_ID=17543&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-593218.949999999,-1162633.66,10,17607,Botanické oddělení,Muzeum,,https://www.mzm.cz/botanicke-oddeleni/,http://www.mzm.cz/kalendar/,Hviezdoslavova,1183/29,botanika@mzm.cz,515910452,"Botanical department, Moravian Museum",,,Moravské zemské muzeum,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180666&RECORD_ID=17607&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598036.729499999,-1160578.0434,11,17673,Brain Farm,Hub,,http://www.coworkingbrno.cz/,,Jezuitská,6/1,info@brainfarm.cz,608828666,,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180668&RECORD_ID=17673&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-597302.642700002,-1160491.7276,12,17650,Branta Workspace,Hub,,https://www.branta.cz/,,Cejl,509/41,brantabrno@gmail.com,604868249,,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180670&RECORD_ID=17650&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-599015.219999999,-1159661.47,13,35151,Brusinka - Multikulturní centrum,Kulturní centrum,,https://www.brusinkabrno.cz/,,Konečného nám.,1019/2a,info@brusinkabrno.cz,+420 728 787 727,,,,,,Ano,,,,,,,,,,,,2024/09/24 01:30:43+00
-600116.3499,-1161370.3009,14,17678,BVV,Divadlo,dočasně zavřeno kvůli rekonstrukci Janáčkova divadla,https://www.ndbrno.cz,http://www.ndbrno.cz/program,Výstaviště,405/1,obchodni@ndbrno.cz,542158111,,,,Národní­ divadlo Brno,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180672&RECORD_ID=17678&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-597052.23,-1160355.71,15,21422,Bývalá Káznice na Cejlu,Ostatní,"Rozsáhlá, původně čtyřkřídlá stavba je už dlouho pohlcená okolní zástavbou, ale v době vzniku stála v místech, kde končily poslední domy na předměstí. Její historie sahá do roku 1770, kdy byla dvorským dekretem zřízena káznice pro celou Moravu. Základní kámen byl položen o dva roky později. V roce 1778 se sem ovšem místo trestanců nastěhovalo 147 sirotků z brněnské jezuitské koleje. V roce 1784 císař Josef II. sirotčinec zrušil, areál se vrátil k původně zamýšlené funkci a během následujících desetiletí sem byli přemístěni trestanci ze Špilberku. Nejtemnější období přišlo s obdobím protektorátu a poté po roce 1948, kdy zde bylo internováno, a také popraveno, velké množství politických vězňů.

V současné době probíhají snahy o oživení celého komplexu. TIC BRNO v něm pořádá tematické prohlídky a prostory bývají pronajímány k jednorázovým kulturním akcím, např. k výstavám, workshopům, divadelním představením, koncertům apod. Brněnská filmová kancelář bývalou káznici také nabízí jako zajímavou filmovou lokaci.",https://ticbrno.cz/byvala-kaznice-na-cejlu ,https://www.gotobrno.cz/akce/kaznice-zije/,Bratislavská,68,,,Former Prison on Cejl,"The large, originally four-winged building has long been absorbed by the surrounding buildings, but at the time of its construction it stood where the last houses in the suburb ended. Its history dates back to 1770, when a court decree established a penitentiary for the whole of Moravia. The foundation stone was laid two years later. In 1778, however, 147 orphans from the Jesuit college in Brno moved in instead of convicts. In 1784, the orphanage was abolished by Emperor Joseph II, the premises were returned to their original function, and in the following decades the convicts from Špilberk were moved here. The darkest period came with the Protectorate and then after 1948, when a large number of political prisoners were interned here and executed.  At present, efforts are underway to revive the entire complex. TIC BRNO organises thematic tours and the premises are rented for one-off cultural events, e.g. exhibitions, workshops, theatre performances, concerts, etc. The Brno Film Office also offers the former penitentiary as an interesting film location.",,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=189872&RECORD_ID=21422&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598299.375799999,-1160825.2926,16,17558,Cabaret des Péchés,Hudebni klub,,https://www.cabaretdespeches.com/,https://www.cabaretdespeches.com/program-burleska-burlesque-show-koncert-stand-up/,Dominikánské náměstí,0/2,info@cabaretdespeches.com,774497277,,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180674&RECORD_ID=17558&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-597703.449999999,-1161679.57,17,19933,Café Práh,Podnik s kulturním programem,Bezbariérový prostor,https://www.cafeprah.cz,https://www.cafeprah.cz/kalendar-verejny-vypis/,Ve Vaňkovce,1,kavarna@prah-brno.cz,+420 734 850 549,Threshold Café,,,,,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=189551&RECORD_ID=19933&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-597029.268399999,-1167251.5914,18,17692,Cinema City - OC Olympia,Kino,,https://www.cinemacity.cz,https://www.cinemacity.cz/cinemas/olympia/1034#/buy-tickets-by-cinema?in-cinema=1034&view-mode=list,U Dálnice,0/777,info@cinemacity.cz,255742021,,,,Cinema City,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180677&RECORD_ID=17692&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598259.449999999,-1160950.61,19,17523,Cinema City - OC Velký Špalíček,Kino,,https://www.cinemacity.cz/velkyspalicek,https://www.cinemacity.cz/cinemas/velkyspalicek/1035#/buy-tickets-by-cinema?in-cinema=1035&view-mode=list,Mečová,695/2,info@cinemacity.cz,255742021,Multiplex Cinema City Velký Špalíček,,16,Cinema City,Ne,Ano,,,,přístupné,accessible,https://gis.brno.cz/mapa/mapa-pristupnosti/?i=-598236.47:-1160968.83&c=-598236.47:-1160968.83,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180612&RECORD_ID=17523&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-597598.963100001,-1161430.7072,20,17670,Clubco,Hub,,https://clubco.cz/,,Dornych,40/27,klara.sikulova@ctp.eu,702150276,,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180678&RECORD_ID=17670&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598628.68,-1159758.95,21,17476,CO.LABS,Kulturní centrum,,http://www.colabs.cz/homepage/,http://www.colabs.cz/program/,Kounicova,685/20,vstupenky@colabs.cz,+420 608 611 060,,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180671&RECORD_ID=17476&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598151.026299998,-1160513.2977,22,17672,COWO Brno,Hub,,https://www.cowobrno.cz/,,Moravské náměstí,629/4,ahoj@cowobrno.cz,603430282,,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180680&RECORD_ID=17672&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598471.48,-1160453.61,23,17623,Červený kostel,Koncertní hala,,https://www.brno1.evangnet.cz,,Komenského náměstí,0/2,brno1@evangnet.cz,0,"Evangelical Church of J. A. Komenský, Red Church",,88,,Ne,Ano,,,,nepřístupné,inaccessible,https://gis.brno.cz/mapa/mapa-pristupnosti/?i=-598473.27:-1160437.89&c=-598473.27:-1160437.89,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180686&RECORD_ID=17623&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-599080.057599999,-1160804.0412,24,17655,Deja*Vu Oldies,Hudebni klub,,https://www.dejavubrno.cz,,Úvoz,491/26,cebakova@seznam.cz,605938535,,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180687&RECORD_ID=17655&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-595077.440000001,-1160985.38,25,35149,Dělnický dům Židenice,Kulturní centrum,,www.delnickydumbrno.cz,,Jamborova,3323/65,delnickydum@seznam.cz,"+420 548 216 927, +420 777 758 220",,,,,,Ano,,,,,,,,,,,,2024/09/24 01:30:43+00
-597822.522300001,-1160583.2941,26,17569,Desert,Hudebni klub,,,https://www.facebook.com/desertbrno/events/?ref=page_internal,Rooseveltova,591/11,dodesertu@seznam.cz,777631451,,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180690&RECORD_ID=17569&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598253.739999998,-1161163.05,27,17554,Diecézní muzeum,Muzeum,,https://www.dieceznimuzeum.cz,https://www.dieceznimuzeum.cz/index.php?page=aktualne,Petrov,275/1,muzeum@biskupstvi.cz,533033278,Petrov Museum,,3,,Ano,Ano,,,,přístupné s asistencí,accessible with assistance,https://gis.brno.cz/mapa/mapa-pristupnosti/?i=-598249.11:-1161158.19&c=-598249.11:-1161158.19,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180654&RECORD_ID=17554&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598177.710000001,-1161102.71,28,17694,Dietrichsteinský palác,Kulturní památka,,https://www.mzm.cz/dietrichsteinsky-palac/,http://www.mzm.cz/kalendar/,Zelný trh,295/8,mzm@mzm.cz,533435220,Dietrichstein Palace,,4,Moravské zemské muzeum,Ano,Ano,,,,přístupné s asistencí,accessible with assistance,https://gis.brno.cz/mapa/mapa-pristupnosti/?i=-598171:-1161106.01&c=-598171:-1161106.01,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180645&RECORD_ID=17694&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-599497.440000001,-1158931.56,29,17665,Divadelní studio V,Divadlo,,https://www.divadlov.cz,https://divadlov.cz/program/,Veveří,944/133,studio@divadlov.cz,739649492,Theater studio V,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180691&RECORD_ID=17665&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-599051.27,-1157719.26,30,17638,Divadlo Barka - otevřený kulturní prostor ligy vozíčkářů,Divadlo,,https://www.divadlobarka.cz,http://divadlobarka.cz/program/,Svatopluka Čecha,1405/35,barka@ligavozic.cz,541213206,Barrier-free Theatre Barka,,28,,Ne,Ano,,,,přístupné s asistencí,accessible with assistance,https://gis.brno.cz/mapa/mapa-pristupnosti/?i=-599052.91:-1157700.99&c=-599052.91:-1157700.99,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180503&RECORD_ID=17638&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598112.559999999,-1160528.52,31,17610,Divadlo Bolka Polívky,Divadlo,,https://www.divadlobolkapolivky.cz,https://divadlobolkapolivky.cz/program/,Jakubské náměstí,127/5,divadlo@bolek.cz,542214903,Bolek Polivka Theatre,,5,,Ne,Ano,,,,nepřístupné,inaccessible,https://gis.brno.cz/mapa/mapa-pristupnosti/?i=-598113.45:-1160556.1&c=-598113.45:-1160556.1,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180609&RECORD_ID=17610&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598207.640000001,-1161102.23,32,17690,Divadlo Husa na Provázku,Divadlo,,https://www.provazek.cz,https://www.provazek.cz/cs/program,Zelný trh,294/9,provazek@provazek.cz,542123411,Goose on a String Theatre,,6,Centrum experimentální­ho divadla,Ne,Ano,,,,přístupné s asistencí,accessible with assistance,https://gis.brno.cz/mapa/mapa-pristupnosti/?i=-598210.98:-1161100.19&c=-598210.98:-1161100.19,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180650&RECORD_ID=17690&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598267.890000001,-1158970.75,33,17633,Divadlo Koráb,Divadlo,,https://www.korab.cz,https://www.korab.cz/stala-scena-program-1,Staňkova,324/29,korab@korab.cz,773522123,Corab theatre,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180692&RECORD_ID=17633&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-591534.800000001,-1160187.59,34,17528,Divadlo Líšeň,Divadlo,,https://www.divadlolisen.cz,https://www.divadlolisen.cz/kalendar/,Ondráčkova,226/20,irena@divadlolisen.cz,728818034,Líšeň Theatre,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180693&RECORD_ID=17528&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-597869.190000001,-1160902.85,35,17547,Divadlo na Orlí,Divadlo,,https://www.divadlonaorli.jamu.cz,http://divadlonaorli.jamu.cz/index.php?p=program,Orlí,710/19,dno@jamu.cz,542591800,Na Orlí Theatre,,285,,Ne,Ano,,,,přístupné,accessible,https://gis.brno.cz/mapa/mapa-pristupnosti/?i=-597866.46:-1160889.89&c=-597866.46:-1160889.89,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180643&RECORD_ID=17547&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598749.890000001,-1159242.45,36,17647,Divadlo Polárka,Divadlo,,https://www.divadlopolarka.cz,https://divadlopolarka.cz/program/,Tučkova,922/34,pelcova@divadlopolarka.cz,724042852,Polárka Theatre,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180695&RECORD_ID=17647&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
